Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
1,JÉRÔME PINEAU,135,QUICK STEP,10 PTS,,9,2010,,,,Aravis - 204.5 km
2,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,9 PTS,,9,2010,,,,Aravis - 204.5 km
3,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,8 PTS,,9,2010,,,,Aravis - 204.5 km
4,DAMIANO CUNEGO,201,LAMPRE - FARNESE,7 PTS,,9,2010,,,,Aravis - 204.5 km
5,SANDY CASAR,62,FDJ,6 PTS,,9,2010,,,,Aravis - 204.5 km
6,CYRIL GAUTIER,155,BBOX BOUYGUES TELECOM,5 PTS,,9,2010,,,,Aravis - 204.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,15 PTS,,9,2010,,,,Col des Saisies - 204.5 km
2,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,13 PTS,,9,2010,,,,Col des Saisies - 204.5 km
3,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,11 PTS,,9,2010,,,,Col des Saisies - 204.5 km
4,JENS VOIGT,19,TEAM SAXO BANK,9 PTS,,9,2010,,,,Col des Saisies - 204.5 km
5,DAMIANO CUNEGO,201,LAMPRE - FARNESE,8 PTS,,9,2010,,,,Col des Saisies - 204.5 km
6,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,7 PTS,,9,2010,,,,Col des Saisies - 204.5 km
7,JOHANNES FRÖHLINGER,143,TEAM MILRAM,6 PTS,,9,2010,,,,Col des Saisies - 204.5 km
8,CYRIL GAUTIER,155,BBOX BOUYGUES TELECOM,5 PTS,,9,2010,,,,Col des Saisies - 204.5 km
1,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,40 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
2,DAMIANO CUNEGO,201,LAMPRE - FARNESE,36 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
