Rank,Rider,Rider No.,Team,Times,Gap,Stages,Year,B,P
1,LILIAN CALMEJANE,173,DIRECT ENERGIE,00h 00' 00'',-,3,2017,,
1,GUILLAUME VAN KEIRSBULCK,208,WANTY - GROUPE GOBERT,00h 00' 00'',-,4,2017,,
1,PHILIPPE GILBERT,104,QUICK - STEP FLOORS,00h 00' 00'',-,5,2017,,
1,VEGARD STAKE LAENGEN,65,UAE TEAM EMIRATES,00h 00' 00'',-,6,2017,,
1,DYLAN VAN BAARLE,189,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,00h 00' 00'',-,7,2017,,
1,LILIAN CALMEJANE,173,DIRECT ENERGIE,00h 00' 00'',-,8,2017,,
1,WARREN BARGUIL,143,TEAM SUNWEB,00h 00' 00'',-,9,2017,,
1,ELIE GESBERT,214,TEAM FORTUNEO - OSCARO,00h 00' 00'',-,10,2017,,
1,MACIEJ BODNAR,112,BORA - HANSGROHE,00h 00' 00'',-,11,2017,,
1,STEPHEN CUMMINGS,93,TEAM DIMENSION DATA,00h 00' 00'',-,12,2017,,
1,ALBERTO CONTADOR,31,TREK - SEGAFREDO,00h 00' 00'',-,13,2017,,
1,THOMAS DE GENDT,134,LOTTO SOUDAL,00h 00' 00'',-,14,2017,,
1,BAUKE MOLLEMA,37,TREK - SEGAFREDO,00h 00' 00'',-,15,2017,,
1,SYLVAIN CHAVANEL,174,DIRECT ENERGIE,00h 00' 00'',-,16,2017,,
1,ALBERTO CONTADOR,31,TREK - SEGAFREDO,00h 00' 00'',-,17,2017,,
1,JOHN DARWIN ATAPUMA HURTADO,62,UAE TEAM EMIRATES,00h 00' 00'',-,18,2017,,
1,JENS KEUKELEIRE,87,ORICA - SCOTT,00h 00' 00'',-,19,2017,,
1,YOANN OFFREDO,215,WANTY - GROUPE GOBERT,00h 00' 00'',-,1,2018,,
1,SYLVAIN CHAVANEL,183,DIRECT ENERGIE,00h 00' 00'',-,2,2018,,
1,JÉRÔME COUSIN,184,DIRECT ENERGIE,00h 00' 00'',-,4,2018,,
1,TOMS SKUJINS,197,TREK - SEGAFREDO,00h 00' 00'',-,5,2018,,
1,DAMIEN GAUDIN,185,DIRECT ENERGIE,00h 00' 00'',-,6,2018,,
1,LAURENT PICHON,47,TEAM FORTUNEO - SAMSIC,00h 00' 00'',-,7,2018,,
1,FABIEN GRELLIER,186,DIRECT ENERGIE,00h 00' 00'',-,8,2018,,
1,DAMIEN GAUDIN,185,DIRECT ENERGIE,00h 00' 00'',-,9,2018,,
1,GREG VAN AVERMAET,87,BMC RACING TEAM,00h 00' 00'',-,10,2018,,
1,ALEJANDRO VALVERDE,78,MOVISTAR TEAM,00h 00' 00'',-,11,2018,,
1,STEVEN KRUIJSWIJK,161,TEAM LOTTO NL - JUMBO,00h 00' 00'',-,12,2018,,
1,MICHAEL SCHÄR,86,BMC RACING TEAM,00h 00' 00'',-,13,2018,,
1,JASPER STUYVEN,198,TREK - SEGAFREDO,00h 00' 00'',-,14,2018,,
1,RAFAL MAJKA,114,BORA - HANSGROHE,00h 00' 00'',-,15,2018,,
1,PHILIPPE GILBERT,104,QUICK - STEP FLOORS,00h 00' 00'',-,16,2018,,
1,TANEL KANGERT,125,ASTANA PRO TEAM,00h 00' 00'',-,17,2018,,
1,LUKE DURBRIDGE,63,MITCHELTON - SCOTT,00h 00' 00'',-,18,2018,,
1,MIKEL LANDA MEANA,75,MOVISTAR TEAM,00h 00' 00'',-,19,2018,,
1,STÉPHANE ROSSETTO,157,"COFIDIS, SOLUTIONS CREDITS",00h 00' 00'',-,1,2019,,
1,TIM WELLENS,168,LOTTO SOUDAL,00h 00' 00'',-,3,2019,,
1,MICHAEL SCHÄR,117,CCC TEAM,00h 00' 00'',-,4,2019,,
1,TOMS SKUJINS,137,TREK - SEGAFREDO,00h 00' 00'',-,5,2019,,
1,TIM WELLENS,168,LOTTO SOUDAL,00h 00' 00'',-,6,2019,,
1,YOANN OFFREDO,196,WANTY - GOBERT CYCLING TEAM,00h 00' 00'',-,7,2019,,
1,THOMAS DE GENDT,164,LOTTO SOUDAL,00h 00' 00'',-,8,2019,,
1,TIESJ BENOOT,162,LOTTO SOUDAL,00h 00' 00'',-,9,2019,,
1,NATNAEL BERHANE,152,"COFIDIS, SOLUTIONS CREDITS",00h 00' 00'',-,10,2019,,
1,AIME DE GENDT,193,WANTY - GOBERT CYCLING TEAM,00h 00' 00'',-,11,2019,,
1,MATTEO TRENTIN,107,MITCHELTON - SCOTT,00h 00' 00'',-,12,2019,,
1,ELIE GESBERT,214,TEAM ARKEA - SAMSIC,00h 00' 00'',-,14,2019,,
1,MIKEL LANDA MEANA,65,MOVISTAR TEAM,00h 00' 00'',-,15,2019,,
1,ALEXIS GOUGEARD,36,AG2R LA MONDIALE,00h 00' 00'',-,16,2019,,
1,MATTEO TRENTIN,107,MITCHELTON - SCOTT,00h 00' 00'',-,17,2019,,
1,GREG VAN AVERMAET,111,CCC TEAM,00h 00' 00'',-,18,2019,,
1,VINCENZO NIBALI,41,BAHRAIN - MERIDA,00h 00' 00'',-,20,2019,,
1,MICHAEL SCHÄR,116,CCC TEAM,00h 00' 00'',-,1,2020,,
1,BENOIT COSNEFROY,33,AG2R LA MONDIALE,00h 00' 00'',-,2,2020,,
1,JÉRÔME COUSIN,184,TOTAL DIRECT ENERGIE,00h 00' 00'',-,3,2020,,
1,KRISTS NEILANDS,175,ISRAEL START-UP NATION,00h 00' 00'',-,4,2020,,
1,WOUT POELS,67,BAHRAIN - MCLAREN,00h 00' 00'',-,5,2020,,
1,NICOLAS ROCHE,208,TEAM SUNWEB,00h 00' 00'',-,6,2020,,
1,DANIEL OSS,26,BORA - HANSGROHE,00h 00' 00'',-,7,2020,,
1,NANS PETERS,36,AG2R LA MONDIALE,00h 00' 00'',-,8,2020,,
1,MARC HIRSCHI,204,TEAM SUNWEB,00h 00' 00'',-,9,2020,,
1,STEFAN KÜNG,54,GROUPAMA - FDJ,00h 00' 00'',-,10,2020,,
1,MATTHIEU LADAGNOUS,55,GROUPAMA - FDJ,00h 00' 00'',-,11,2020,,
1,MARC HIRSCHI,204,TEAM SUNWEB,00h 00' 00'',-,12,2020,,
1,MAXIMILIAN SCHACHMANN,28,BORA - HANSGROHE,00h 00' 00'',-,13,2020,,
1,STEFAN KÜNG,54,GROUPAMA - FDJ,00h 00' 00'',-,14,2020,,
1,PIERRE ROLLAND,218,B&B HOTELS - VITAL CONCEPT P / B KTM,00h 00' 00'',-,15,2020,,
1,RICHARD CARAPAZ,3,INEOS GRENADIERS,00h 00' 00'',-,16,2020,,
1,JULIAN ALAPHILIPPE,41,DECEUNINCK - QUICK - STEP,00h 00' 00'',-,17,2020,,
1,MARC HIRSCHI,204,TEAM SUNWEB,00h 00' 00'',-,18,2020,,
1,RÉMI CAVAGNA,44,DECEUNINCK - QUICK - STEP,00h 00' 00'',-,19,2020,,
1,IDE SCHELLING,78,BORA - HANSGROHE,00h 00' 00'',-,1,2021,,
1,EDWARD THEUNS,48,TREK - SEGAFREDO,00h 00' 00'',-,2,2021,,
1,MICHAEL SCHÄR,127,AG2R CITROEN TEAM,00h 00' 00'',-,3,2021,,
1,BRENT VAN MOER,158,LOTTO SOUDAL,00h 00' 00'',-,4,2021,,
1,GREG VAN AVERMAET,128,AG2R CITROEN TEAM,00h 00' 00'',-,6,2021,,
1,MATEJ MOHORIC,165,BAHRAIN VICTORIOUS,00h 00' 00'',-,7,2021,,
1,WOUT POELS,166,BAHRAIN VICTORIOUS,00h 00' 00'',-,8,2021,,
1,BEN O'CONNOR,124,AG2R CITROEN TEAM,00h 00' 00'',-,9,2021,,
1,HUGO HOULE,186,ASTANA - PREMIER TECH,00h 00' 00'',-,10,2021,,
1,KENNY ELISSONDE,43,TREK - SEGAFREDO,00h 00' 00'',-,11,2021,,
1,NILS POLITT,76,BORA - HANSGROHE,00h 00' 00'',-,12,2021,,
1,QUENTIN PACHER,227,B&B HOTELS P/B KTM,00h 00' 00'',-,13,2021,,
1,BAUKE MOLLEMA,44,TREK - SEGAFREDO,00h 00' 00'',-,14,2021,,
1,WOUT VAN AERT,12,JUMBO - VISMA,00h 00' 00'',-,15,2021,,
1,PATRICK KONRAD,74,BORA - HANSGROHE,00h 00' 00'',-,16,2021,,
1,ANTHONY PEREZ,96,COFIDIS,00h 00' 00'',-,17,2021,,
1,DAVID GAUDU,81,GROUPAMA - FDJ,00h 00' 00'',-,18,2021,,
1,MATEJ MOHORIC,165,BAHRAIN VICTORIOUS,00h 00' 00'',-,19,2021,,
1,SVEN ERIK BYSTRØM,122,INTERMARCHE - WANTY - GOBERT MATERIAUX,00h 00' 00'',-,2,2022,,
1,MAGNUS CORT NIELSEN,146,EF EDUCATION - EASYPOST,00h 00' 00'',-,3,2022,,
1,ANTHONY PEREZ,76,COFIDIS,00h 00' 00'',-,4,2022,,
1,MAGNUS CORT NIELSEN,146,EF EDUCATION - EASYPOST,00h 00' 00'',-,5,2022,,
1,WOUT VAN AERT,16,JUMBO - VISMA,00h 00' 00'',-,6,2022,,
1,SIMON GESCHKE,73,COFIDIS,00h 00' 00'',-,7,2022,,
1,MATTIA CATTANEO,54,QUICK-STEP ALPHA VINYL TEAM,00h 00' 00'',-,8,2022,,
1,THIBAUT PINOT,97,GROUPAMA - FDJ,00h 00' 00'',-,9,2022,,
1,ALBERTO BETTIOL,143,EF EDUCATION - EASYPOST,00h 00' 00'',-,10,2022,,
1,WARREN BARGUIL,152,TEAM ARKEA - SAMSIC,00h 00' 00'',-,11,2022,,
1,THOMAS PIDCOCK,25,INEOS GRENADIERS,00h 00' 00'',-,12,2022,,
1,MADS PEDERSEN,171,TREK - SEGAFREDO,00h 00' 00'',-,13,2022,,
1,MICHAEL MATTHEWS,201,TEAM BIKEEXCHANGE-JAYCO,00h 00' 00'',-,14,2022,,
1,NILS POLITT,46,BORA - HANSGROHE,00h 00' 00'',-,15,2022,,
1,HUGO HOULE,196,ISRAEL-PREMIER TECH,00h 00' 00'',-,16,2022,,
1,BRANDON MCNULTY,6,UAE TEAM EMIRATES,00h 00' 00'',-,17,2022,,
1,WOUT VAN AERT,16,JUMBO - VISMA,00h 00' 00'',-,18,2022,,
1,QUINN SIMMONS,176,TREK - SEGAFREDO,00h 00' 00'',-,19,2022,,
1,ADAM YATES,19,UAE TEAM EMIRATES,00h 00' 00'',-,1,2023,,
1,NEILSON POWLESS,46,EF EDUCATION - EASYPOST,00h 00' 00'',-,2,2023,,
1,LAURENT PICHON,178,TEAM ARKEA - SAMSIC,00h 00' 00'',-,3,2023,,
1,BENOIT COSNEFROY,93,AG2R CITROEN TEAM,00h 00' 00'',-,4,2023,,
1,WOUT VAN AERT,6,JUMBO-VISMA,00h 00' 00'',-,5,2023,,
1,WOUT VAN AERT,6,JUMBO-VISMA,00h 00' 00'',-,6,2023,,
1,SIMON GUGLIELMI,175,TEAM ARKEA - SAMSIC,00h 00' 00'',-,7,2023,,
1,ANTHONY TURGIS,218,TOTALENERGIES,00h 00' 00'',-,8,2023,,
1,MATTEO JORGENSON,135,MOVISTAR TEAM,00h 00' 00'',-,9,2023,,
1,KRISTS NEILANDS,155,ISRAEL - PREMIER TECH,00h 00' 00'',-,10,2023,,
1,DANIEL OSS,217,TOTALENERGIES,00h 00' 00'',-,11,2023,,
1,MATHIEU VAN DER POEL,101,ALPECIN-DECEUNINCK,00h 00' 00'',-,12,2023,,
1,MICHAL KWIATKOWSKI,24,INEOS GRENADIERS,00h 00' 00'',-,13,2023,,
1,GIULIO CICCONE,81,LIDL - TREK,00h 00' 00'',-,14,2023,,
1,ADRIEN PETIT,115,INTERMARCHÉ - CIRCUS - WANTY,00h 00' 00'',-,15,2023,,
1,FELIX GALL,95,AG2R CITROEN TEAM,00h 00' 00'',-,17,2023,,
1,VICTOR CAMPENAERTS,182,LOTTO DSTNY,00h 00' 00'',-,18,2023,,
1,VICTOR CAMPENAERTS,182,LOTTO DSTNY,00h 00' 00'',-,19,2023,,
1,THIBAUT PINOT,37,GROUPAMA - FDJ,00h 00' 00'',-,20,2023,,
