Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
3,ASTANA,131h 06' 11'',+ 00h 00' 35'',9,2010,,,,
4,RABOBANK,131h 06' 55'',+ 00h 01' 19'',9,2010,,,,
5,AG2R LA MONDIALE,131h 20' 29'',+ 00h 14' 53'',9,2010,,,,
6,LIQUIGAS-DOIMO,131h 21' 59'',+ 00h 16' 23'',9,2010,,,,
7,OMEGA PHARMA - LOTTO,131h 23' 40'',+ 00h 18' 04'',9,2010,,,,
8,SKY PRO CYCLING,131h 31' 48'',+ 00h 26' 12'',9,2010,,,,
9,COFIDIS LE CREDIT EN LIGNE,131h 35' 03'',+ 00h 29' 27'',9,2010,,,,
10,EUSKALTEL - EUSKADI,131h 36' 30'',+ 00h 30' 54'',9,2010,,,,
11,TEAM SAXO BANK,131h 38' 59'',+ 00h 33' 23'',9,2010,,,,
12,BMC RACING TEAM,131h 39' 15'',+ 00h 33' 39'',9,2010,,,,
13,BBOX BOUYGUES TELECOM,131h 41' 02'',+ 00h 35' 26'',9,2010,,,,
14,TEAM HTC - COLUMBIA,131h 43' 07'',+ 00h 37' 31'',9,2010,,,,
15,QUICK STEP,131h 50' 23'',+ 00h 44' 47'',9,2010,,,,
16,FDJ,132h 08' 11'',+ 01h 02' 35'',9,2010,,,,
17,GARMIN - TRANSITIONS,132h 19' 11'',+ 01h 13' 35'',9,2010,,,,
18,CERVELO TEST TEAM,132h 22' 39'',+ 01h 17' 03'',9,2010,,,,
19,KATUSHA TEAM,132h 35' 47'',+ 01h 30' 11'',9,2010,,,,
20,FOOTON-SERVETTO,132h 37' 30'',+ 01h 31' 54'',9,2010,,,,
21,TEAM MILRAM,133h 17' 31'',+ 02h 11' 55'',9,2010,,,,
22,LAMPRE - FARNESE,133h 31' 27'',+ 02h 25' 51'',9,2010,,,,
1,CAISSE D'EPARGNE,147h 07' 02'',-,10,2010,,,,
2,TEAM RADIOSHACK,147h 07' 33'',+ 00h 00' 31'',10,2010,,,,
3,ASTANA,147h 21' 56'',+ 00h 14' 54'',10,2010,,,,
4,RABOBANK,147h 22' 40'',+ 00h 15' 38'',10,2010,,,,
5,AG2R LA MONDIALE,147h 23' 54'',+ 00h 16' 52'',10,2010,,,,
6,OMEGA PHARMA - LOTTO,147h 26' 39'',+ 00h 19' 37'',10,2010,,,,
7,LIQUIGAS-DOIMO,147h 37' 44'',+ 00h 30' 42'',10,2010,,,,
