Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
17,B&B HOTELS - VITAL CONCEPT P / B KTM,186h 59' 44'',+ 03h 47' 08'',14,2020,,,,
18,TEAM SUNWEB,187h 24' 40'',+ 04h 12' 04'',14,2020,,,,
19,ISRAEL START-UP NATION,187h 47' 44'',+ 04h 35' 08'',14,2020,,,,
20,NTT PRO CYCLING TEAM,188h 33' 00'',+ 05h 20' 24'',14,2020,,,,
21,TOTAL DIRECT ENERGIE,189h 30' 57'',+ 06h 18' 21'',14,2020,,,,
22,LOTTO SOUDAL,192h 06' 47'',+ 08h 54' 11'',14,2020,,,,
1,MOVISTAR TEAM,197h 04' 16'',-,15,2020,,,,
2,TEAM JUMBO - VISMA,197h 19' 06'',+ 00h 14' 50'',15,2020,,,,
3,EF PRO CYCLING,197h 30' 31'',+ 00h 26' 15'',15,2020,,,,
4,BAHRAIN - MCLAREN,197h 41' 59'',+ 00h 37' 43'',15,2020,,,,
5,TREK - SEGAFREDO,197h 49' 25'',+ 00h 45' 09'',15,2020,,,,
6,INEOS GRENADIERS,197h 57' 55'',+ 00h 53' 39'',15,2020,,,,
7,ASTANA PRO TEAM,197h 57' 59'',+ 00h 53' 43'',15,2020,,,,
8,AG2R LA MONDIALE,198h 25' 57'',+ 01h 21' 41'',15,2020,,,,
9,MITCHELTON - SCOTT,199h 03' 06'',+ 01h 58' 50'',15,2020,,,,
10,TEAM ARKEA - SAMSIC,199h 09' 56'',+ 02h 05' 40'',15,2020,,,,
11,UAE TEAM EMIRATES,199h 13' 09'',+ 02h 08' 53'',15,2020,,,,
12,GROUPAMA - FDJ,199h 25' 20'',+ 02h 21' 04'',15,2020,,,,
13,COFIDIS,199h 46' 44'',+ 02h 42' 28'',15,2020,,,,
14,BORA - HANSGROHE,200h 14' 44'',+ 03h 10' 28'',15,2020,,,,
15,CCC TEAM,200h 42' 13'',+ 03h 37' 57'',15,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,201h 44' 59'',+ 04h 40' 43'',15,2020,,,,
17,DECEUNINCK - QUICK - STEP,202h 10' 43'',+ 05h 06' 27'',15,2020,,,,
18,ISRAEL START-UP NATION,202h 26' 18'',+ 05h 22' 02'',15,2020,,,,
19,TEAM SUNWEB,202h 53' 54'',+ 05h 49' 38'',15,2020,,,,
20,NTT PRO CYCLING TEAM,203h 39' 10'',+ 06h 34' 54'',15,2020,,,,
21,TOTAL DIRECT ENERGIE,204h 35' 37'',+ 07h 31' 21'',15,2020,,,,
22,LOTTO SOUDAL,207h 23' 54'',+ 10h 19' 38'',15,2020,,,,
1,MOVISTAR TEAM,210h 11' 06'',-,16,2020,,,,
2,INEOS GRENADIERS,210h 46' 43'',+ 00h 35' 37'',16,2020,,,,
3,EF PRO CYCLING,210h 48' 06'',+ 00h 37' 00'',16,2020,,,,
4,TEAM JUMBO - VISMA,210h 48' 42'',+ 00h 37' 36'',16,2020,,,,
5,BAHRAIN - MCLAREN,211h 12' 03'',+ 01h 00' 57'',16,2020,,,,
6,TREK - SEGAFREDO,211h 20' 13'',+ 01h 09' 07'',16,2020,,,,
7,ASTANA PRO TEAM,211h 28' 31'',+ 01h 17' 25'',16,2020,,,,
8,AG2R LA MONDIALE,212h 04' 45'',+ 01h 53' 39'',16,2020,,,,
9,TEAM ARKEA - SAMSIC,212h 19' 18'',+ 02h 08' 12'',16,2020,,,,
10,GROUPAMA - FDJ,212h 41' 22'',+ 02h 30' 16'',16,2020,,,,
11,MITCHELTON - SCOTT,212h 41' 58'',+ 02h 30' 52'',16,2020,,,,
12,UAE TEAM EMIRATES,212h 44' 59'',+ 02h 33' 53'',16,2020,,,,
13,COFIDIS,213h 24' 35'',+ 03h 13' 29'',16,2020,,,,
14,BORA - HANSGROHE,213h 31' 19'',+ 03h 20' 13'',16,2020,,,,
15,CCC TEAM,213h 54' 17'',+ 03h 43' 11'',16,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,214h 56' 26'',+ 04h 45' 20'',16,2020,,,,
17,DECEUNINCK - QUICK - STEP,215h 44' 22'',+ 05h 33' 16'',16,2020,,,,
18,TEAM SUNWEB,215h 54' 07'',+ 05h 43' 01'',16,2020,,,,
19,ISRAEL START-UP NATION,216h 17' 24'',+ 06h 06' 18'',16,2020,,,,
20,NTT PRO CYCLING TEAM,217h 37' 22'',+ 07h 26' 16'',16,2020,,,,
21,TOTAL DIRECT ENERGIE,218h 14' 23'',+ 08h 03' 17'',16,2020,,,,
22,LOTTO SOUDAL,221h 21' 50'',+ 11h 10' 44'',16,2020,,,,
1,MOVISTAR TEAM,224h 49' 23'',-,17,2020,,,,
2,TEAM JUMBO - VISMA,225h 19' 30'',+ 00h 30' 07'',17,2020,,,,
3,EF PRO CYCLING,225h 52' 44'',+ 01h 03' 21'',17,2020,,,,
4,BAHRAIN - MCLAREN,225h 53' 27'',+ 01h 04' 04'',17,2020,,,,
5,INEOS GRENADIERS,226h 07' 22'',+ 01h 17' 59'',17,2020,,,,
6,TREK - SEGAFREDO,226h 18' 00'',+ 01h 28' 37'',17,2020,,,,
7,ASTANA PRO TEAM,226h 23' 22'',+ 01h 33' 59'',17,2020,,,,
8,AG2R LA MONDIALE,227h 27' 19'',+ 02h 37' 56'',17,2020,,,,
9,UAE TEAM EMIRATES,227h 38' 48'',+ 02h 49' 25'',17,2020,,,,
10,TEAM ARKEA - SAMSIC,227h 44' 31'',+ 02h 55' 08'',17,2020,,,,
11,GROUPAMA - FDJ,227h 55' 51'',+ 03h 06' 28'',17,2020,,,,
12,MITCHELTON - SCOTT,228h 02' 00'',+ 03h 12' 37'',17,2020,,,,
13,COFIDIS,228h 48' 05'',+ 03h 58' 42'',17,2020,,,,
14,BORA - HANSGROHE,229h 09' 55'',+ 04h 20' 32'',17,2020,,,,
15,CCC TEAM,229h 39' 31'',+ 04h 50' 08'',17,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,230h 39' 41'',+ 05h 50' 18'',17,2020,,,,
17,DECEUNINCK - QUICK - STEP,231h 26' 46'',+ 06h 37' 23'',17,2020,,,,
18,TEAM SUNWEB,231h 39' 30'',+ 06h 50' 07'',17,2020,,,,
19,ISRAEL START-UP NATION,231h 56' 02'',+ 07h 06' 39'',17,2020,,,,
20,NTT PRO CYCLING TEAM,233h 16' 28'',+ 08h 27' 05'',17,2020,,,,
21,TOTAL DIRECT ENERGIE,233h 58' 25'',+ 09h 09' 02'',17,2020,,,,
22,LOTTO SOUDAL,237h 12' 33'',+ 12h 23' 10'',17,2020,,,,
1,MOVISTAR TEAM,239h 23' 11'',-,18,2020,,,,
2,TEAM JUMBO - VISMA,239h 47' 47'',+ 00h 24' 36'',18,2020,,,,
3,BAHRAIN - MCLAREN,240h 21' 58'',+ 00h 58' 47'',18,2020,,,,
4,EF PRO CYCLING,240h 38' 38'',+ 01h 15' 27'',18,2020,,,,
5,INEOS GRENADIERS,240h 49' 28'',+ 01h 26' 17'',18,2020,,,,
6,TREK - SEGAFREDO,241h 02' 39'',+ 01h 39' 28'',18,2020,,,,
7,ASTANA PRO TEAM,241h 03' 09'',+ 01h 39' 58'',18,2020,,,,
8,AG2R LA MONDIALE,242h 16' 52'',+ 02h 53' 41'',18,2020,,,,
9,UAE TEAM EMIRATES,242h 33' 57'',+ 03h 10' 46'',18,2020,,,,
10,GROUPAMA - FDJ,242h 43' 10'',+ 03h 19' 59'',18,2020,,,,
11,MITCHELTON - SCOTT,242h 55' 40'',+ 03h 32' 29'',18,2020,,,,
12,TEAM ARKEA - SAMSIC,243h 00' 02'',+ 03h 36' 51'',18,2020,,,,
13,COFIDIS,243h 41' 52'',+ 04h 18' 41'',18,2020,,,,
14,CCC TEAM,244h 30' 43'',+ 05h 07' 32'',18,2020,,,,
15,BORA - HANSGROHE,244h 30' 55'',+ 05h 07' 44'',18,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,246h 06' 19'',+ 06h 43' 08'',18,2020,,,,
17,TEAM SUNWEB,246h 43' 07'',+ 07h 19' 56'',18,2020,,,,
18,DECEUNINCK - QUICK - STEP,247h 01' 34'',+ 07h 38' 23'',18,2020,,,,
19,ISRAEL START-UP NATION,247h 52' 56'',+ 08h 29' 45'',18,2020,,,,
20,NTT PRO CYCLING TEAM,249h 10' 48'',+ 09h 47' 37'',18,2020,,,,
21,TOTAL DIRECT ENERGIE,249h 36' 57'',+ 10h 13' 46'',18,2020,,,,
22,LOTTO SOUDAL,252h 46' 50'',+ 13h 23' 39'',18,2020,,,,
1,MOVISTAR TEAM,250h 35' 44'',-,19,2020,,,,
2,TEAM JUMBO - VISMA,251h 00' 20'',+ 00h 24' 36'',19,2020,,,,
3,BAHRAIN - MCLAREN,251h 34' 31'',+ 00h 58' 47'',19,2020,,,,
4,EF PRO CYCLING,251h 51' 11'',+ 01h 15' 27'',19,2020,,,,
5,INEOS GRENADIERS,251h 55' 22'',+ 01h 19' 38'',19,2020,,,,
6,TREK - SEGAFREDO,252h 08' 27'',+ 01h 32' 43'',19,2020,,,,
7,ASTANA PRO TEAM,252h 15' 42'',+ 01h 39' 58'',19,2020,,,,
8,AG2R LA MONDIALE,253h 22' 40'',+ 02h 46' 56'',19,2020,,,,
9,UAE TEAM EMIRATES,253h 46' 30'',+ 03h 10' 46'',19,2020,,,,
10,MITCHELTON - SCOTT,253h 54' 57'',+ 03h 19' 13'',19,2020,,,,
11,GROUPAMA - FDJ,253h 55' 43'',+ 03h 19' 59'',19,2020,,,,
12,TEAM ARKEA - SAMSIC,254h 12' 35'',+ 03h 36' 51'',19,2020,,,,
13,COFIDIS,254h 54' 25'',+ 04h 18' 41'',19,2020,,,,
14,CCC TEAM,255h 29' 55'',+ 04h 54' 11'',19,2020,,,,
15,BORA - HANSGROHE,255h 36' 52'',+ 05h 01' 08'',19,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,257h 15' 07'',+ 06h 39' 23'',19,2020,,,,
17,TEAM SUNWEB,257h 41' 17'',+ 07h 05' 33'',19,2020,,,,
18,DECEUNINCK - QUICK - STEP,258h 01' 08'',+ 07h 25' 24'',19,2020,,,,
19,ISRAEL START-UP NATION,259h 01' 44'',+ 08h 26' 00'',19,2020,,,,
20,NTT PRO CYCLING TEAM,260h 19' 36'',+ 09h 43' 52'',19,2020,,,,
21,TOTAL DIRECT ENERGIE,260h 49' 30'',+ 10h 13' 46'',19,2020,,,,
22,LOTTO SOUDAL,264h 00' 02'',+ 13h 24' 18'',19,2020,,,,
1,MOVISTAR TEAM,253h 34' 22'',-,20,2020,,,,
2,TEAM JUMBO - VISMA,253h 52' 53'',+ 00h 18' 31'',20,2020,,,,
3,BAHRAIN - MCLAREN,254h 31' 32'',+ 00h 57' 10'',20,2020,,,,
4,EF PRO CYCLING,254h 51' 05'',+ 01h 16' 43'',20,2020,,,,
5,INEOS GRENADIERS,255h 05' 20'',+ 01h 30' 58'',20,2020,,,,
6,TREK - SEGAFREDO,255h 14' 01'',+ 01h 39' 39'',20,2020,,,,
7,ASTANA PRO TEAM,255h 21' 37'',+ 01h 47' 15'',20,2020,,,,
8,AG2R LA MONDIALE,256h 32' 48'',+ 02h 58' 26'',20,2020,,,,
9,UAE TEAM EMIRATES,256h 41' 08'',+ 03h 06' 46'',20,2020,,,,
10,MITCHELTON - SCOTT,256h 59' 32'',+ 03h 25' 10'',20,2020,,,,
11,GROUPAMA - FDJ,257h 02' 16'',+ 03h 27' 54'',20,2020,,,,
12,TEAM ARKEA - SAMSIC,257h 16' 04'',+ 03h 41' 42'',20,2020,,,,
13,COFIDIS,257h 58' 30'',+ 04h 24' 08'',20,2020,,,,
14,CCC TEAM,258h 32' 41'',+ 04h 58' 19'',20,2020,,,,
15,BORA - HANSGROHE,258h 38' 19'',+ 05h 03' 57'',20,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,260h 23' 49'',+ 06h 49' 27'',20,2020,,,,
17,TEAM SUNWEB,260h 46' 54'',+ 07h 12' 32'',20,2020,,,,
18,DECEUNINCK - QUICK - STEP,261h 00' 58'',+ 07h 26' 36'',20,2020,,,,
19,ISRAEL START-UP NATION,262h 06' 18'',+ 08h 31' 56'',20,2020,,,,
20,NTT PRO CYCLING TEAM,263h 29' 42'',+ 09h 55' 20'',20,2020,,,,
21,TOTAL DIRECT ENERGIE,263h 59' 06'',+ 10h 24' 44'',20,2020,,,,
22,LOTTO SOUDAL,267h 08' 50'',+ 13h 34' 28'',20,2020,,,,
1,MOVISTAR TEAM,262h 14' 58'',-,21,2020,,,,
2,TEAM JUMBO - VISMA,262h 33' 29'',+ 00h 18' 31'',21,2020,,,,
3,BAHRAIN - MCLAREN,263h 12' 08'',+ 00h 57' 10'',21,2020,,,,
4,EF PRO CYCLING,263h 31' 41'',+ 01h 16' 43'',21,2020,,,,
5,INEOS GRENADIERS,263h 46' 59'',+ 01h 32' 01'',21,2020,,,,
6,TREK - SEGAFREDO,263h 54' 37'',+ 01h 39' 39'',21,2020,,,,
7,ASTANA PRO TEAM,264h 02' 13'',+ 01h 47' 15'',21,2020,,,,
8,AG2R LA MONDIALE,265h 13' 45'',+ 02h 58' 47'',21,2020,,,,
9,UAE TEAM EMIRATES,265h 21' 44'',+ 03h 06' 46'',21,2020,,,,
10,MITCHELTON - SCOTT,265h 40' 08'',+ 03h 25' 10'',21,2020,,,,
11,GROUPAMA - FDJ,265h 43' 34'',+ 03h 28' 36'',21,2020,,,,
12,TEAM ARKEA - SAMSIC,265h 57' 01'',+ 03h 42' 03'',21,2020,,,,
13,COFIDIS,266h 39' 06'',+ 04h 24' 08'',21,2020,,,,
14,CCC TEAM,267h 13' 17'',+ 04h 58' 19'',21,2020,,,,
15,BORA - HANSGROHE,267h 20' 35'',+ 05h 05' 37'',21,2020,,,,
16,B&B HOTELS - VITAL CONCEPT P / B KTM,269h 04' 25'',+ 06h 49' 27'',21,2020,,,,
17,TEAM SUNWEB,269h 27' 51'',+ 07h 12' 53'',21,2020,,,,
18,DECEUNINCK - QUICK - STEP,269h 41' 52'',+ 07h 26' 54'',21,2020,,,,
19,ISRAEL START-UP NATION,270h 47' 28'',+ 08h 32' 30'',21,2020,,,,
20,NTT PRO CYCLING TEAM,272h 10' 39'',+ 09h 55' 41'',21,2020,,,,
21,TOTAL DIRECT ENERGIE,272h 39' 42'',+ 10h 24' 44'',21,2020,,,,
22,LOTTO SOUDAL,275h 50' 39'',+ 13h 35' 41'',21,2020,,,,
1,JUMBO - VISMA,13h 57' 44'',-,1,2021,,,,
2,ASTANA - PREMIER TECH,13h 57' 44'',-,1,2021,,,,
3,TEAM BIKEEXCHANGE,13h 58' 09'',+ 00h 00' 25'',1,2021,,,,
4,TREK - SEGAFREDO,13h 58' 22'',+ 00h 00' 38'',1,2021,,,,
5,BAHRAIN VICTORIOUS,13h 58' 25'',+ 00h 00' 41'',1,2021,,,,
6,DECEUNINCK - QUICK - STEP,13h 59' 12'',+ 00h 01' 28'',1,2021,,,,
7,EF EDUCATION - NIPPO,13h 59' 20'',+ 00h 01' 36'',1,2021,,,,
8,INEOS GRENADIERS,13h 59' 52'',+ 00h 02' 08'',1,2021,,,,
9,MOVISTAR TEAM,14h 01' 01'',+ 00h 03' 17'',1,2021,,,,
10,TEAM DSM,14h 01' 09'',+ 00h 03' 25'',1,2021,,,,
11,ALPECIN - FENIX,14h 01' 55'',+ 00h 04' 11'',1,2021,,,,
12,BORA - HANSGROHE,14h 02' 29'',+ 00h 04' 45'',1,2021,,,,
13,TOTALENERGIES,14h 03' 29'',+ 00h 05' 45'',1,2021,,,,
14,AG2R CITROEN TEAM,14h 03' 36'',+ 00h 05' 52'',1,2021,,,,
15,B&B HOTELS P/B KTM,14h 03' 36'',+ 00h 05' 52'',1,2021,,,,
16,COFIDIS,14h 04' 10'',+ 00h 06' 26'',1,2021,,,,
17,GROUPAMA - FDJ,14h 04' 12'',+ 00h 06' 28'',1,2021,,,,
18,INTERMARCHE - WANTY - GOBERT MATERIAUX,14h 04' 12'',+ 00h 06' 28'',1,2021,,,,
19,LOTTO SOUDAL,14h 04' 27'',+ 00h 06' 43'',1,2021,,,,
20,TEAM ARKEA - SAMSIC,14h 04' 35'',+ 00h 06' 51'',1,2021,,,,
21,UAE TEAM EMIRATES,14h 04' 36'',+ 00h 06' 52'',1,2021,,,,
22,TEAM QHUBEKA NEXTHASH,14h 05' 03'',+ 00h 07' 19'',1,2021,,,,
23,ISRAEL START-UP NATION,14h 12' 28'',+ 00h 14' 44'',1,2021,,,,
1,JUMBO - VISMA,26h 53' 36'',-,2,2021,,,,
2,ASTANA - PREMIER TECH,26h 54' 08'',+ 00h 00' 32'',2,2021,,,,
3,BAHRAIN VICTORIOUS,26h 54' 19'',+ 00h 00' 43'',2,2021,,,,
4,TREK - SEGAFREDO,26h 55' 22'',+ 00h 01' 46'',2,2021,,,,
5,EF EDUCATION - NIPPO,26h 55' 29'',+ 00h 01' 53'',2,2021,,,,
6,TEAM BIKEEXCHANGE,26h 55' 59'',+ 00h 02' 23'',2,2021,,,,
7,INEOS GRENADIERS,26h 56' 35'',+ 00h 02' 59'',2,2021,,,,
8,MOVISTAR TEAM,26h 57' 10'',+ 00h 03' 34'',2,2021,,,,
9,DECEUNINCK - QUICK - STEP,26h 58' 15'',+ 00h 04' 39'',2,2021,,,,
10,BORA - HANSGROHE,27h 00' 51'',+ 00h 07' 15'',2,2021,,,,
11,AG2R CITROEN TEAM,27h 01' 34'',+ 00h 07' 58'',2,2021,,,,
12,B&B HOTELS P/B KTM,27h 02' 03'',+ 00h 08' 27'',2,2021,,,,
13,TEAM ARKEA - SAMSIC,27h 02' 09'',+ 00h 08' 33'',2,2021,,,,
14,TEAM DSM,27h 02' 09'',+ 00h 08' 33'',2,2021,,,,
15,ALPECIN - FENIX,27h 02' 12'',+ 00h 08' 36'',2,2021,,,,
16,TOTALENERGIES,27h 03' 18'',+ 00h 09' 42'',2,2021,,,,
17,UAE TEAM EMIRATES,27h 03' 57'',+ 00h 10' 21'',2,2021,,,,
18,GROUPAMA - FDJ,27h 04' 01'',+ 00h 10' 25'',2,2021,,,,
19,COFIDIS,27h 04' 52'',+ 00h 11' 16'',2,2021,,,,
20,INTERMARCHE - WANTY - GOBERT MATERIAUX,27h 08' 00'',+ 00h 14' 24'',2,2021,,,,
21,TEAM QHUBEKA NEXTHASH,27h 10' 48'',+ 00h 17' 12'',2,2021,,,,
22,ISRAEL START-UP NATION,27h 13' 31'',+ 00h 19' 55'',2,2021,,,,
23,LOTTO SOUDAL,27h 20' 48'',+ 00h 27' 12'',2,2021,,,,
1,BAHRAIN VICTORIOUS,38h 59' 09'',-,3,2021,,,,
2,JUMBO - VISMA,39h 00' 42'',+ 00h 01' 33'',3,2021,,,,
3,TREK - SEGAFREDO,39h 00' 52'',+ 00h 01' 43'',3,2021,,,,
4,ASTANA - PREMIER TECH,39h 01' 08'',+ 00h 01' 59'',3,2021,,,,
5,EF EDUCATION - NIPPO,39h 01' 11'',+ 00h 02' 02'',3,2021,,,,
6,TEAM BIKEEXCHANGE,39h 01' 29'',+ 00h 02' 20'',3,2021,,,,
7,INEOS GRENADIERS,39h 01' 51'',+ 00h 02' 42'',3,2021,,,,
8,DECEUNINCK - QUICK - STEP,39h 03' 05'',+ 00h 03' 56'',3,2021,,,,
9,MOVISTAR TEAM,39h 03' 35'',+ 00h 04' 26'',3,2021,,,,
10,BORA - HANSGROHE,39h 05' 55'',+ 00h 06' 46'',3,2021,,,,
11,TEAM DSM,39h 06' 33'',+ 00h 07' 24'',3,2021,,,,
12,ALPECIN - FENIX,39h 06' 36'',+ 00h 07' 27'',3,2021,,,,
13,TEAM ARKEA - SAMSIC,39h 07' 13'',+ 00h 08' 04'',3,2021,,,,
14,AG2R CITROEN TEAM,39h 07' 16'',+ 00h 08' 07'',3,2021,,,,
15,B&B HOTELS P/B KTM,39h 08' 03'',+ 00h 08' 54'',3,2021,,,,
16,TOTALENERGIES,39h 08' 10'',+ 00h 09' 01'',3,2021,,,,
17,GROUPAMA - FDJ,39h 09' 17'',+ 00h 10' 08'',3,2021,,,,
18,UAE TEAM EMIRATES,39h 09' 39'',+ 00h 10' 30'',3,2021,,,,
19,INTERMARCHE - WANTY - GOBERT MATERIAUX,39h 13' 06'',+ 00h 13' 57'',3,2021,,,,
20,COFIDIS,39h 14' 00'',+ 00h 14' 51'',3,2021,,,,
21,TEAM QHUBEKA NEXTHASH,39h 15' 40'',+ 00h 16' 31'',3,2021,,,,
22,ISRAEL START-UP NATION,39h 20' 39'',+ 00h 21' 30'',3,2021,,,,
23,LOTTO SOUDAL,39h 30' 21'',+ 00h 31' 12'',3,2021,,,,
1,BAHRAIN VICTORIOUS,49h 00' 00'',-,4,2021,,,,
2,JUMBO - VISMA,49h 01' 33'',+ 00h 01' 33'',4,2021,,,,
3,TREK - SEGAFREDO,49h 01' 43'',+ 00h 01' 43'',4,2021,,,,
4,ASTANA - PREMIER TECH,49h 01' 59'',+ 00h 01' 59'',4,2021,,,,
5,EF EDUCATION - NIPPO,49h 02' 02'',+ 00h 02' 02'',4,2021,,,,
6,TEAM BIKEEXCHANGE,49h 02' 20'',+ 00h 02' 20'',4,2021,,,,
7,INEOS GRENADIERS,49h 02' 42'',+ 00h 02' 42'',4,2021,,,,
8,DECEUNINCK - QUICK - STEP,49h 03' 56'',+ 00h 03' 56'',4,2021,,,,
9,MOVISTAR TEAM,49h 04' 26'',+ 00h 04' 26'',4,2021,,,,
10,BORA - HANSGROHE,49h 06' 46'',+ 00h 06' 46'',4,2021,,,,
11,TEAM DSM,49h 07' 24'',+ 00h 07' 24'',4,2021,,,,
12,ALPECIN - FENIX,49h 07' 27'',+ 00h 07' 27'',4,2021,,,,
13,TEAM ARKEA - SAMSIC,49h 08' 04'',+ 00h 08' 04'',4,2021,,,,
14,AG2R CITROEN TEAM,49h 08' 07'',+ 00h 08' 07'',4,2021,,,,
15,B&B HOTELS P/B KTM,49h 08' 54'',+ 00h 08' 54'',4,2021,,,,
16,TOTALENERGIES,49h 09' 01'',+ 00h 09' 01'',4,2021,,,,
17,GROUPAMA - FDJ,49h 10' 08'',+ 00h 10' 08'',4,2021,,,,
18,UAE TEAM EMIRATES,49h 10' 30'',+ 00h 10' 30'',4,2021,,,,
19,INTERMARCHE - WANTY - GOBERT MATERIAUX,49h 13' 57'',+ 00h 13' 57'',4,2021,,,,
20,COFIDIS,49h 14' 51'',+ 00h 14' 51'',4,2021,,,,
21,TEAM QHUBEKA NEXTHASH,49h 16' 31'',+ 00h 16' 31'',4,2021,,,,
22,ISRAEL START-UP NATION,49h 21' 30'',+ 00h 21' 30'',4,2021,,,,
23,LOTTO SOUDAL,49h 31' 12'',+ 00h 31' 12'',4,2021,,,,
1,JUMBO - VISMA,50h 39' 14'',-,5,2021,,,,
2,EF EDUCATION - NIPPO,50h 41' 39'',+ 00h 02' 25'',5,2021,,,,
3,BAHRAIN VICTORIOUS,50h 42' 16'',+ 00h 03' 02'',5,2021,,,,
4,ASTANA - PREMIER TECH,50h 42' 37'',+ 00h 03' 23'',5,2021,,,,
5,DECEUNINCK - QUICK - STEP,50h 42' 39'',+ 00h 03' 25'',5,2021,,,,
6,INEOS GRENADIERS,50h 42' 39'',+ 00h 03' 25'',5,2021,,,,
7,TREK - SEGAFREDO,50h 44' 35'',+ 00h 05' 21'',5,2021,,,,
8,TEAM BIKEEXCHANGE,50h 45' 15'',+ 00h 06' 01'',5,2021,,,,
9,MOVISTAR TEAM,50h 47' 55'',+ 00h 08' 41'',5,2021,,,,
10,BORA - HANSGROHE,50h 49' 04'',+ 00h 09' 50'',5,2021,,,,
11,ALPECIN - FENIX,50h 49' 23'',+ 00h 10' 09'',5,2021,,,,
12,TEAM DSM,50h 51' 23'',+ 00h 12' 09'',5,2021,,,,
13,UAE TEAM EMIRATES,50h 51' 42'',+ 00h 12' 28'',5,2021,,,,
14,AG2R CITROEN TEAM,50h 51' 44'',+ 00h 12' 30'',5,2021,,,,
15,TOTALENERGIES,50h 51' 57'',+ 00h 12' 43'',5,2021,,,,
16,GROUPAMA - FDJ,50h 52' 47'',+ 00h 13' 33'',5,2021,,,,
17,TEAM ARKEA - SAMSIC,50h 53' 15'',+ 00h 14' 01'',5,2021,,,,
18,B&B HOTELS P/B KTM,50h 56' 11'',+ 00h 16' 57'',5,2021,,,,
19,COFIDIS,50h 58' 53'',+ 00h 19' 39'',5,2021,,,,
20,INTERMARCHE - WANTY - GOBERT MATERIAUX,50h 59' 48'',+ 00h 20' 34'',5,2021,,,,
21,TEAM QHUBEKA NEXTHASH,51h 00' 17'',+ 00h 21' 03'',5,2021,,,,
22,ISRAEL START-UP NATION,51h 09' 08'',+ 00h 29' 54'',5,2021,,,,
23,LOTTO SOUDAL,51h 15' 29'',+ 00h 36' 15'',5,2021,,,,
1,JUMBO - VISMA,60h 32' 02'',-,6,2021,,,,
2,EF EDUCATION - NIPPO,60h 34' 27'',+ 00h 02' 25'',6,2021,,,,
3,BAHRAIN VICTORIOUS,60h 35' 04'',+ 00h 03' 02'',6,2021,,,,
4,ASTANA - PREMIER TECH,60h 35' 25'',+ 00h 03' 23'',6,2021,,,,
5,DECEUNINCK - QUICK - STEP,60h 35' 27'',+ 00h 03' 25'',6,2021,,,,
6,INEOS GRENADIERS,60h 35' 27'',+ 00h 03' 25'',6,2021,,,,
7,TREK - SEGAFREDO,60h 37' 23'',+ 00h 05' 21'',6,2021,,,,
8,TEAM BIKEEXCHANGE,60h 38' 03'',+ 00h 06' 01'',6,2021,,,,
9,MOVISTAR TEAM,60h 40' 43'',+ 00h 08' 41'',6,2021,,,,
10,BORA - HANSGROHE,60h 41' 52'',+ 00h 09' 50'',6,2021,,,,
11,ALPECIN - FENIX,60h 42' 11'',+ 00h 10' 09'',6,2021,,,,
12,TEAM DSM,60h 44' 11'',+ 00h 12' 09'',6,2021,,,,
13,UAE TEAM EMIRATES,60h 44' 30'',+ 00h 12' 28'',6,2021,,,,
14,AG2R CITROEN TEAM,60h 44' 32'',+ 00h 12' 30'',6,2021,,,,
15,TOTALENERGIES,60h 44' 45'',+ 00h 12' 43'',6,2021,,,,
16,GROUPAMA - FDJ,60h 45' 35'',+ 00h 13' 33'',6,2021,,,,
17,TEAM ARKEA - SAMSIC,60h 46' 03'',+ 00h 14' 01'',6,2021,,,,
18,B&B HOTELS P/B KTM,60h 48' 59'',+ 00h 16' 57'',6,2021,,,,
19,COFIDIS,60h 51' 41'',+ 00h 19' 39'',6,2021,,,,
20,INTERMARCHE - WANTY - GOBERT MATERIAUX,60h 52' 36'',+ 00h 20' 34'',6,2021,,,,
21,TEAM QHUBEKA NEXTHASH,60h 53' 05'',+ 00h 21' 03'',6,2021,,,,
22,ISRAEL START-UP NATION,61h 01' 56'',+ 00h 29' 54'',6,2021,,,,
23,LOTTO SOUDAL,61h 08' 17'',+ 00h 36' 15'',6,2021,,,,
1,JUMBO - VISMA,77h 09' 12'',-,7,2021,,,,
2,TREK - SEGAFREDO,77h 09' 25'',+ 00h 00' 13'',7,2021,,,,
3,EF EDUCATION - NIPPO,77h 11' 37'',+ 00h 02' 25'',7,2021,,,,
4,BAHRAIN VICTORIOUS,77h 12' 19'',+ 00h 03' 07'',7,2021,,,,
5,ASTANA - PREMIER TECH,77h 13' 52'',+ 00h 04' 40'',7,2021,,,,
6,DECEUNINCK - QUICK - STEP,77h 15' 24'',+ 00h 06' 12'',7,2021,,,,
7,INEOS GRENADIERS,77h 16' 12'',+ 00h 07' 00'',7,2021,,,,
8,TEAM BIKEEXCHANGE,77h 16' 30'',+ 00h 07' 18'',7,2021,,,,
9,BORA - HANSGROHE,77h 19' 02'',+ 00h 09' 50'',7,2021,,,,
