Stages,Date,Start,Finish,Year
Stage 15,11/07/2021,Céret,Andorre-la-Vieille,2021
Stage 16,13/07/2021,Pas de la Case,Saint-Gaudens,2021
Stage 17,14/07/2021,Muret,Saint-Lary-Soulan Col du Portet,2021
Stage 18,15/07/2021,Pau,Luz Ardiden,2021
Stage 19,16/07/2021,Mourenx,Libourne,2021
Stage 20,17/07/2021,Libourne,Saint-Emilion,2021
Stage 21,18/07/2021,Chatou,Paris Champs-Élysées,2021
Stage 1,01/07/2022,Copenhague,Copenhague,2022
Stage 2,02/07/2022,Roskilde,Nyborg,2022
Stage 3,03/07/2022,Vejle,Sønderborg,2022
Transfer 1,04/07/2022,Transfert,Transfert,2022
Stage 4,05/07/2022,Dunkerque,Calais,2022
Stage 5,06/07/2022,Lille Métropole,Arenberg Porte du Hainaut,2022
Stage 6,07/07/2022,Binche,Longwy,2022
Stage 7,08/07/2022,Tomblaine,La Super Planche des Belles Filles,2022
Stage 8,09/07/2022,Dole,Lausanne,2022
Stage 9,10/07/2022,Aigle,Châtel Les Portes du Soleil,2022
Stage 10,12/07/2022,Morzine Les Portes du Soleil,Megève,2022
Stage 11,13/07/2022,Albertville,Col du Granon Serre Chevalier,2022
Stage 12,14/07/2022,Briançon,Alpe d'Huez,2022
Stage 13,15/07/2022,Le Bourg d'Oisans,Saint-Étienne,2022
Stage 14,16/07/2022,Saint-Étienne,Mende,2022
Stage 15,17/07/2022,Rodez,Carcassonne,2022
Stage 16,19/07/2022,Carcassonne,Foix,2022
Stage 17,20/07/2022,Saint-Gaudens,Peyragudes,2022
Stage 18,21/07/2022,Lourdes,Hautacam,2022
Stage 19,22/07/2022,Castelnau-Magnoac,Cahors,2022
Stage 20,23/07/2022,Lacapelle-Marival,Rocamadour,2022
Stage 21,24/07/2022,Paris La Défense Arena,Paris Champs-Élysées,2022
Stage 1,01/07/2023,Bilbao,Bilbao,2023
Stage 2,02/07/2023,Vitoria-Gasteiz,Saint-Sébastien,2023
Stage 3,03/07/2023,Amorebieta-Etxano,Bayonne,2023
Stage 4,04/07/2023,Dax,Nogaro,2023
Stage 5,05/07/2023,Pau,Laruns,2023
Stage 6,06/07/2023,Tarbes,Cauterets-Cambasque,2023
Stage 7,07/07/2023,Mont-de-Marsan,Bordeaux,2023
Stage 8,08/07/2023,Libourne,Limoges,2023
Stage 9,09/07/2023,Saint-Léonard-de-Noblat,Puy de Dôme,2023
Stage 10,11/07/2023,Vulcania,Issoire,2023
Stage 11,12/07/2023,Clermont-Ferrand,Moulins,2023
Stage 12,13/07/2023,Roanne,Belleville-en-Beaujolais,2023
Stage 13,14/07/2023,Châtillon-sur-Chalaronne,Grand Colombier,2023
Stage 14,15/07/2023,Annemasse,Morzine Les Portes du Soleil,2023
Stage 15,16/07/2023,Les Gets les portes du soleil,Saint-Gervais Mont-Blanc,2023
Stage 16,18/07/2023,Passy,Combloux,2023
Stage 17,19/07/2023,Saint-Gervais Mont-Blanc,Courchevel,2023
Stage 18,20/07/2023,Moûtiers,Bourg-en-Bresse,2023
Stage 19,21/07/2023,Moirans-en-Montagne,Poligny,2023
Stage 20,22/07/2023,Belfort,Le Markstein Fellering,2023
Stage 21,23/07/2023,Saint-Quentin-en-Yvelines,Paris Champs-Élysées,2023
